sentence,np,vp,ner_rich
"(e-mail:krishna.prakash.kk@ gmail.com)
","['e-mail', 'krishna.prakash.kk @ gmail.com']
","[] 
",0
"D. Akila, Associate Professor, Department of Information  Technology, School of Computing Sciences, VELS Institute of Science,
","['D. Akila', 'Associate Professor', 'Department Information Technology', 'School Computing', 'VELS Institute Science']
","[] 
",0
"Technology & Advanced Studies, Chennai, Tamilnadu, India.
","['Technology', 'Advanced', 'Chennai', 'Tamilnadu', 'India']
","[] 
",0
"(e-mail:akiindia@yahoo.com)  P. Rajesh, Assistant Professor, Department of Information
","['e-mail', 'akiindia @ yahoo.com', 'P. Rajesh', 'Assistant Professor', 'Department Information']
","[] 
",0
"Technology, School of Computing Sciences, VELS Institute of Science,
","['Technology', 'School Computing', 'VELS Institute Science']
","[] 
",0
"Technology & Advanced Studies, Chennai, Tamilnadu, India.
","['Technology', 'Advanced', 'Chennai', 'Tamilnadu', 'India']
","[] 
",0
"(e-mail:itsrajesh91@gmail.com)
","['e-mail', 'itsrajesh91 @ gmail.com']
","[] 
",0
"communication.
","['communication']
","[] 
",0
"The machine learning and deep learning
","['The machine', 'deep learning']
","['learning'] 
",0
"algorithms are widely is used to develop frameworks for
","['algorithms', 'frameworks']
","['widely used develop'] 
",0
"NLP and efficiently perform common NLP tasks.
","['NLP', 'common NLP tasks']
","['efficiently perform'] 
",0
"II.
","['II']
","[] 
",0
"BRIEF HISTORY
","['BRIEF HISTORY']
","[] 
",0
"Although the work on NLP dates back to around 1950
","['work NLP']
","['dates'] 
",0
"with the development of what is called as “Turing Test”
","['development', 'Turing Test ”']
","['called'] 
",0
"and in 1957 a rule based system of syntactic structures.
","['rule', 'system', 'syntactic structures']
","['based'] 
",0
"The progress was slow until 1990 due to limited
","['The progress']
","['limited'] 
",0
"computational power and systems were based on
","['computational power systems']
","['based'] 
",0
"complex sets of hand written rules and limited
","['complex sets hand', 'rules']
","['written', 'limited'] 
",1
"vocabulary.
","['vocabulary']
","[] 
",0
"With the introduction of machine learning
","['introduction machine learning']
","[] 
",0
"and steady increase in computational power, recently
","['steady increase', 'computational power']
","[] 
",0
"interest on research and applications are growing.
","['interest research applications']
","['growing'] 
",0
"The
","[]
","[] 
",0
"recent major breakthrough areas of NLP are: speech
","['areas NLP', 'speech']
","[] 
",0
"recognition, language processing, dialog systems and
","['recognition', 'language processing', 'dialog systems']
","[] 
",0
"applying deep learning techniques.
","['deep learning techniques']
","['applying'] 
",0
"While NLP is still facing lot of challenges (like human
","['NLP', 'lot challenges', 'human']
","['still facing'] 
",0
"computer interfaces), there has been lot of research
","['computer interfaces', 'lot research']
","[] 
",0
"interests and it has opened to many opportunities for
","['interests', 'many opportunities']
","['opened'] 
",0
"using the techniques in robotics, automation and digital
","['techniques robotics', 'automation digital']
","['using'] 
",0
"transformation.
","['transformation']
","[] 
",0
"III.
","['III']
","[] 
",0
"RESEARCH WORKS ON NLP
","['RESEARCH WORKS ON NLP']
","[] 
",0
"Until 1990, most of the research work was done on the
","['research work']
","['done'] 
",0
"NLP concepts and machine translation.
","['NLP concepts machine translation']
","[] 
",0
"Most recent
","[]
","[] 
",0
"research work on NLP have harnessed the power of
","['research work NLP', 'power']
","['harnessed'] 
",0
"statistical models, machine learning, Deep learning
","['statistical models', 'machine learning', 'Deep learning']
","[] 
",0
"technologies that are using data driven approach.
","['technologies', 'data']
","['using', 'driven approach'] 
",1
"The research topics on Natural Language Processing
","['The research topics Natural Language Processing']
","[] 
",0
"sometimes overlap with some artificial intelligence and
","['overlap artificial intelligence']
","[] 
",0
"Deep Learning topics.
","['Deep Learning topics']
","[] 
",0
"These approaches generally
","['These approaches']
","[] 
",0
"adopted recently to perform NLP tasks in most efficient
","['NLP tasks efficient']
","['adopted recently perform'] 
",0
"way.
","['way']
","[] 
",0
"The ACL 2018 Main Conference invited papers in
","['The ACL', 'Main Conference', 'papers']
","['invited'] 
",0
"21areas which are Dialogue and Interactive Systems,
","['Dialogue Interactive']
","[] 
",0
"Discourse and Pragmatics, Document Analysis,
","['Discourse Pragmatics', 'Document Analysis']
","[] 
",0
"Generation, Information Extraction and Text Mining,
","['Generation', 'Information Extraction Text Mining']
","[] 
",0
"Linguistic Theories, Cognitive Modeling and
","['Linguistic Theories', 'Cognitive Modeling']
","[] 
",0
"Psycholinguistics, Machine Learning, Machine
","['Psycholinguistics', 'Machine Learning', 'Machine']
","[] 
",0
"Translation, Multidisciplinary, Multilinguality,
","['Translation', 'Multidisciplinary', 'Multilinguality']
","[] 
",0
"Phonology, Morphology and Word Segmentation,
","['Phonology', 'Morphology Word Segmentation']
","[] 
",0
"Question Answering, Resources and Evaluation,
","['Question Answering', 'Resources Evaluation']
","[] 
",0
"Sentence-level Semantics, Sentiment Analysis and
","['Sentence-level Semantics', 'Sentiment Analysis']
","[] 
",0
"Argument Mining, Social Media, Summarization,
","['Argument Mining', 'Social Media', 'Summarization']
","[] 
",0
"Advances in Natural Language Processing –
","['Advances Natural Language Processing –']
","[] 
",0
"A Survey of Current Research Trends,
","['A Survey Current Research Trends']
","[] 
",0
"Development Tools and Industry
","['Development Tools Industry']
","[] 
",0
"Applications  Krishna Prakash Kalyanathaya, D. Akila and P. Rajesh 
","['Applications Krishna Prakash Kalyanathaya', 'D. Akila P. Rajesh \uf020']
","[] 
",0
"International Conference on Advances in Signal Processing, Power, Embedded, Soft Computing, Communication and
","['International Conference Advances Signal Processing', 'Power', 'Embedded', 'Soft Computing', 'Communication']
","[] 
",0
"Control Systems (ICSPECS-2019) | 11th & 12th January 2019 | GPREC, Kurnool, A.P.
","['Control Systems', 'ICSPECS-2019', 'January', '| GPREC', 'Kurnool', 'A.P']
","['|'] 
",0
"India
","['India']
","[] 
",0
"200
","[]
","[] 
",0
"Published By:  Blue Eyes Intelligence Engineering
","['Blue Eyes Intelligence Engineering']
","['Published'] 
",0
"& Sciences Publication  Retrieval Number: E10480275C19/19©BEIESP
","['Publication Retrieval Number', 'E10480275C19/19©BEIESP']
","[] 
",0
"Tagging, Chunking, Syntax and Parsing, Textual
","['Tagging', 'Chunking', 'Syntax Parsing', 'Textual']
","[] 
",0
"Inference and Other Areas of Semantics, Vision,
","['Inference', 'Other Areas Semantics', 'Vision']
","[] 
",0
"Robotics, Multimodal, Grounding and Speech, Word-
","['Robotics', 'Multimodal', 'Grounding Speech', 'Word-']
","[] 
",0
"level Semantics [3][4].
","['level', ']', ']']
","['['] 
",0
"The conference accepted 258 long
","['The conference']
","['accepted'] 
",0
"papers and 156 short papers on the above areas.
","['papers', 'short papers areas']
","[] 
",0
"IV.
","['IV']
","[] 
",0
"INDUSTRIAL APPLICATIONS OF  NLP
","['INDUSTRIAL APPLICATIONS OF NLP']
","[] 
",0
"NLP aims to dominate human-to-machine interaction
","['NLP aims', 'human-to-machine interaction']
","['dominate'] 
",0
"to the point where talking to a machine is as easy as
","['point', 'machine easy']
","['talking'] 
",0
"talking to a human.
","[]
","['talking'] 
",0
"NLP still continues to harness
","['NLP', 'harness']
","['still continues'] 
",0
"unstructured data and make it meaningful to a machine.
","['unstructured data', 'meaningful machine']
","['make'] 
",0
"IDC recently forecasted that the quantity of analyzed data
","['IDC', 'quantity', 'data']
","['recently forecasted', 'analyzed'] 
",1
"by cognitive systems will grow by a factor of 100 to 1.4
","['cognitive systems', 'factor']
","['grow'] 
",0
"ZB by 2025 impacting thousands of industries and
","['thousands industries']
","['impacting'] 
",0
"companies around the globe [2].
","['companies', 'globe', ']']
","[] 
",0
"Robotics, health care,
","['Robotics', 'health care']
","[] 
",0
"financial services, connected auto and smart homes are
","['financial services', 'connected auto', 'smart homes']
","[] 
",0
"some of the sectors that will continue to be advanced by
","['sectors']
","['continue advanced'] 
",0
"NLP.
","['NLP']
","[] 
",0
"One of initial applications of NLP in early years of
","['initial applications NLP', 'early years']
","[] 
",0
"2000 was on machine translation to work as translator
","['machine translation work translator']
","[] 
",0
"from one human language to another.
","['human language']
","[] 
",0
"But it rapidly found
","[]
","['rapidly found'] 
",0
"its acceptance in customer service industry.
","['acceptance customer service industry']
","[] 
",0
"Most popular
","[]
","[] 
",0
"application of NLP in customer service is called as
","['application NLP customer service']
","['called'] 
",0
"“Chatbots” or Virtual assistant.
","['“ Chatbots ” Virtual assistant']
","[] 
",0
"Industrial applications of NLP can be broadly
","['Industrial applications NLP']
","[] 
",0
"classified into 3 categories:Conversational systems, Text
","['categories', 'Conversational systems', 'Text']
","[] 
",0
"Analytics, Machine translation
","['Analytics', 'Machine translation']
","[] 
",0
"A. Conversational Systems
","['A. Conversational']
","[] 
",0
"Conversational system allows us to make the
","['Conversational system']
","['allows', 'make'] 
",1
"conversation with the automated system in a natural
","['conversation', 'system']
","['automated'] 
",0
"language via voice or text interface.
","['language', 'voice', 'text interface']
","[] 
",0
"They help to
","[]
","['help'] 
",0
"automate the complex workflows in an organization with
","['automate complex', 'organization']
","['workflows'] 
",0
"24X7 support to its users.
","['support users']
","[] 
",0
"Most common type of conversation devices are
","['common type conversation devices']
","[] 
",0
"Chatbots and Virtual Assistants.
","['Chatbots Virtual Assistants']
","[] 
",0
"Today, these two
","['Today']
","[] 
",0
"devices are employed by banks, e-commerce, social
","['devices', 'banks', 'e-commerce']
","['employed'] 
",0
"media and other self service point of sales systems to
","['media', 'service point sales systems']
","[] 
",0
"provide various services to their customers.
","['various services customers']
","[] 
",0
"B.
","['B']
","[] 
",0
"Text Analytics
","['Text Analytics']
","[] 
",0
"Text Analytics also called as Text mining which aims
","['Text Analytics', 'Text mining aims']
","['also called'] 
",0
"to extract meaningful content from text, either in
","['extract meaningful content text']
","[] 
",0
"documents, emails or short-form communications such as
","['documents', 'short-form communications']
","['emails'] 
",0
"tweets and SMS texts [2].
","['tweets SMS', ']']
","['texts'] 
",0
" Most common use cases of text analytics on social
","['common use cases', 'analytics']
","['text'] 
",0
"media analytics.
","['media analytics']
","[] 
",0
"C. Machine Translation
","['C. Machine Translation']
","[] 
",0
"Machine translation is the task of automatically
","['Machine translation task']
","[] 
",0
"translating one natural language into another, preserving
","['natural language']
","['translating', 'preserving'] 
",1
"the meaning of the input text [4].
","['input text', ']']
","['meaning'] 
",0
"Most popular application of machine translation is
","['popular application machine translation']
","[] 
",0
"Google translator.
","['Google translator']
","[] 
",0
"Other machine translation software’s
","['Other machine translation software ’']
","[] 
",0
"are also used in speech translation and teaching.
","['speech translation teaching']
","['also used'] 
",0
"Now, we will look at some industrial applications in
","['industrial applications']
","['look'] 
",0
"following domain areas: Healthcare, Automotive,
","['domain areas', 'Healthcare', 'Automotive']
","['following'] 
",0
"Finance, Manufacturing, Retail, Education and customer
","['Finance', 'Manufacturing', 'Retail', 'Education customer']
","[] 
",0
"service.
","['service']
","[] 
",0
"D. Healthcare
","['D. Healthcare']
","[] 
",0
"Hospitals are deploying Virtual Assistants developed
","['Hospitals', 'Virtual Assistants']
","['deploying', 'developed'] 
",1
"with combination of Natural Language Processing,
","['combination Natural Language Processing']
","[] 
",0
"Computer Vision and Machine learning which will
","['Computer Vision Machine learning']
","[] 
",0
"automatically create and retrieve patient history by
","['create retrieve patient history']
","[] 
",0
"interacting with the Patients.
","['Patients']
","['interacting'] 
",0
"Virtual Assistant handle
","['Virtual Assistant handle']
","[] 
",0
"routine tasks such as scheduling appointments and
","['routine tasks', 'appointments']
","['scheduling'] 
",0
"registration of patients.
","['registration patients']
","[] 
",0
"E. Automotive
","['E. Automotive']
","[] 
",0
"Self driving cars are one of most significant
","['Self', 'cars']
","['driving'] 
",0
"innovations in this field.
","['innovations field']
","[] 
",0
"NLP enables human computer
","['NLP', 'human computer']
","['enables'] 
",0
"interface in what is now called as “in-car assistants”
","['interface', 'in-car assistants']
","['called', '”'] 
",1
"which is gaining popularity in the industry.
","['popularity industry']
","['gaining'] 
",0
"F. Finance
","['F. Finance']
","[] 
",0
"NLP based solutions are developed in applications
","['NLP', 'solutions', 'applications']
","['based', 'developed'] 
",1
"such as credit scoring, sentiment analysis and document
","['credit scoring', 'sentiment analysis document']
","[] 
",0
"search.
","['search']
","[] 
",0
"Credit scoring application help the banks and
","['Credit', 'application help banks']
","['scoring'] 
",0
"financial institutions assess an individual’s
","['financial institutions', 'individual ’']
","[] 
",0
"creditworthiness and provide credit score using NLP and
","['creditworthiness', 'credit score', 'NLP']
","['provide', 'using'] 
",1
"machine learning.
","['machine learning']
","[] 
",0
"In sentiment analysis applications
","['sentiment analysis applications']
","[] 
",0
"automate the tasks of text mining for real time
","['automate tasks', 'real time']
","['mining'] 
",0
"information on market from news site and social media
","['information market news site', 'social media']
","[] 
",0
"and then perform document classification and named
","['perform document classification']
","['named'] 
",0
"entity recognition to filter out most relevant information
","['entity recognition filter', 'relevant information']
","[] 
",0
"to the investors needs.In document search applications,
","['investors', 'document search applications']
","['needs.In'] 
",0
"the banks or financial institutions uses chatbot interface
","['banks', 'financial institutions', 'chatbot interface']
","['uses'] 
",0
"that enables its customers to search for information and
","['enables customers', 'information']
","['search'] 
",0
"get answers to basic transactional queries.
","['get answers', 'basic transactional queries']
","[] 
",0
"G. Manufacturing
","['G. Manufacturing']
","[] 
",0
"Robotics and Process Automation are two very
","['Robotics Process Automation']
","[] 
",0
"promising applications areas that will employ Natural
","['applications areas', 'Natural']
","['promising', 'employ'] 
",1
"Language Processing capabilities.
","['Language', 'capabilities']
","['Processing'] 
",0
"Using NLP, Robot on
","['NLP', 'Robot']
","['Using'] 
",0
"a manufacturing floor can interact with human operator at
","['floor', 'interact human operator']
","['manufacturing'] 
",0
"a remote place and process instructions for assembly and
","['remote place process instructions']
","[] 
",0
"movement of machines and products.
","['movement machines products']
","[] 
",0
"The industries have
","['The industries']
","[] 
",0
"already begun to use NLP based solution to automate
","['use NLP', 'solution automate']
","['already begun', 'based'] 
",1
"their process workflow for improving efficiency of
","['process', 'efficiency']
","['improving'] 
",0
"operations.
","['operations']
","[] 
",0
"H. Retail
","['H. Retail']
","[] 
",0
"Using Natural Language, Computer Vision and
","['Natural Language', 'Computer Vision']
","['Using'] 
",0
"Machine learning technologies, a Virtual Assistant placed
","['Machine', 'technologies', 'Virtual Assistant']
","['learning', 'placed'] 
",1
"in front of the Retail shop can identify and know what
","['front Retail shop identify']
","['know'] 
",0
"customer wants and provide them quick information and
","['customer', 'quick information']
","['wants provide'] 
",0
"promotional offers.
","['promotional offers']
","[] 
",0
"The specialized virtual assistant also
","['The specialized virtual assistant']
","[] 
",0
"understand the shoppers comments and complaints
","['understand shoppers comments complaints']
","[] 
",0
"regarding the products and provide a quick direction for
","['products', 'quick direction']
","['regarding', 'provide'] 
",1
"resolution.
","['resolution']
","[] 
",0
"Many e-commerce platforms are currently
","['Many e-commerce platforms']
","[] 
",0
"using conversational agents for customer support.
","['conversational agents customer support']
","['using'] 
",0
"I.
","[]
","[] 
",0
"Education
","['Education']
","[] 
",0
"A combination of Natural Language Processing and
","['A combination Natural Language Processing']
","[] 
",0
"Computer vision enable a platform to deliver virtual
","['Computer vision', 'enable platform deliver']
","[] 
",0
"classroom for students.
","['classroom students']
","[] 
",0
"We have already seen the digital
","['digital']
","['already seen'] 
",0
"assistants helping students solving the problems from
","['assistants', 'students', 'problems']
","['helping', 'solving'] 
",1
"International Journal of Recent Technology and Engineering (IJRTE)
","['International Journal Recent Technology Engineering', 'IJRTE']
","[] 
",0
"ISSN: 2277-3878, Volume-7, Issue-5C, February 2019
","['ISSN', 'Volume-7', 'Issue-5C', 'February']
","[] 
",0
"201
","[]
","[] 
",0
"Published By:  Blue Eyes Intelligence Engineering
","['Blue Eyes Intelligence Engineering']
","['Published'] 
",0
"& Sciences Publication  Retrieval Number: E10480275C19/19©BEIESP
","['Publication Retrieval Number', 'E10480275C19/19©BEIESP']
","[] 
",0
"expert knowledge available in digital libraries.
","['expert knowledge', 'available digital libraries']
","[] 
",0
"The top vendors delivering NLP solutions are IBM,
","['The top vendors', 'NLP solutions IBM']
","['delivering'] 
",0
"Google, Amazon, Cerner, Nuance Communications and
","['Google', 'Amazon', 'Cerner', 'Nuance Communications']
","[] 
",0
"Microsoft.
","['Microsoft']
","[] 
",0
"V. DEVELOPMENT FRAMEWORKS  AND TOOLS FOR NLP
","['V. DEVELOPMENT FRAMEWORKS AND TOOLS FOR NLP']
","[] 
",0
"The development frameworks and tools will help to
","['The development frameworks tools']
","['help'] 
",0
"build industrial applications discussed in the previous
","['industrial applications']
","['build', 'discussed'] 
",1
"section.
","['section']
","[] 
",0
"There has been numerous development tools
","['numerous development tools']
","[] 
",0
"available today due to significant interest shown by open
","['available today', 'due significant interest']
","['shown'] 
",0
"source communities around the world.
","['source communities', 'world']
","[] 
",0
"These frameworks
","['These frameworks']
","[] 
",0
"and tools provide built in libraries and also customizable
","['tools', 'libraries']
","['provide built'] 
",0
"to adapt specific needs of the industry.
","['adapt', 'industry']
","['needs'] 
",0
"  Fig 1: Block representation of stages in the
","['Block representation stages']
","[] 
",0
"development of NLP tools
","['development NLP tools']
","[] 
",0
"Fig 1 shows the block representation of various stages
","['Fig', 'shows', 'representation', 'various stages']
","['block'] 
",0
"in NLP application development.
","['NLP application development']
","[] 
",0
"The Natural Language
","['The Natural Language']
","[] 
",0
"acquisition block built with speech processing, Computer
","['acquisition block', 'speech processing', 'Computer']
","['built'] 
",0
"vision or any data acquisition tools to inject Natural
","['vision data acquisition tools', 'Natural']
","['inject'] 
",0
"language text into the system.
","['language text system']
","[] 
",0
"Table 1: Natural Language Processing Tools
","['Natural Language Processing Tools']
","[] 
",0
"  Natural Language representation block uses structured,
","['Natural Language representation block uses']
","['structured'] 
",0
"tree or graph models to represent the Natural Language
","['tree graph models', 'Natural Language']
","['represent'] 
",0
"understanding.
","['understanding']
","[] 
",0
"Natural Language database is a repository
","['Natural Language database repository']
","[] 
",0
"of Natural Language data like MNIST or similar
","['Natural Language data', 'MNIST']
","[] 
",0
"databases which are then used by machine learning
","['databases', 'machine']
","['used', 'learning'] 
",1
"algorithms to perform other NLP tasks.
","['NLP tasks']
","['algorithms perform'] 
",0
"This database is accessed by representation and
","['This database', 'representation']
","['accessed'] 
",0
"transformation blocks to perform their tasks.
","['transformation blocks', 'tasks']
","['perform'] 
",0
"Natural
","[]
","[] 
",0
"Language transformation will consists of suite of various
","['Language transformation']
","['consists'] 
",0
"learning, extraction algorithms to extract meaningful
","['learning', 'extraction algorithms']
","['extract'] 
",0
"actions from the NLP tasks.
","['actions NLP tasks']
","[] 
",0
"Natural Language
","['Natural Language']
","[] 
",0
"communication is a presentation of the desired actions as
","['communication presentation', 'actions']
","['desired'] 
",0
"an outcome of the NLP tasks.
","['outcome NLP tasks']
","[] 
",0
"The generated outcome
","['The generated outcome']
","[] 
",0
"may be either in Natural Language or in the form of
","['either Natural Language form']
","[] 
",0
"computer action such as robot arm movement.
","['computer action robot arm movement']
","[] 
",0
"The following table gives an overview of the popular
","[]
","['following', 'gives overview'] 
",1
"tools currently available in the market.
","['tools', 'available market']
","[] 
",0
"Abbreviations  1 Common NLP tasks: Lexical analysis, Parsing,
","['Abbreviations', 'Common NLP tasks', 'Lexical analysis', 'Parsing']
","[] 
",0
"semantic analysis, POS tags, Chunking, Name Entity
","['semantic analysis', 'POS tags', 'Chunking', 'Name Entity']
","[] 
",0
"Recognition (NER), Semantic Role Labeling
","['Recognition', 'NER', 'Semantic Role Labeling']
","[] 
",0
"(SRL)and Syntactic parsing.
","['SRL', 'Syntactic parsing']
","[] 
",0
"2 NLTK: Natural Language Toolkit
","['NLTK', 'Natural Language Toolkit']
","[] 
",0
"3 UIMA: Unstructured Information Management
","['UIMA', 'Information Management']
","['Unstructured'] 
",0
"Architecture  4 GATE: General Architecture for Text Processing
","['Architecture', 'GATE', 'General Architecture Text Processing']
","[] 
",0
"5 GPL: General Public License
","['GPL', 'General Public License']
","[] 
",0
"6 Dynet: Dynamic Neural Network
","['Dynet', 'Dynamic Neural Network']
","[] 
",0
"7 MALLET: Machine learning for Language Toolkit
","['MALLET', 'Machine', 'Language Toolkit']
","['learning'] 
",0
"8 LUIS: Language Understanding Intelligent Service
","['LUIS', 'Language Understanding Intelligent Service']
","[] 
",0
"REFERENCES
","['REFERENCES']
","[] 
",0
"1.
","[]
","[] 
",0
"Daniel W. Otter, Julian R. Medina, and Jugal K. Kalita.
","['Daniel W. Otter', 'Julian R. Medina', 'Jugal K. Kalita']
","[] 
",0
"2018.
","[]
","[] 
",0
"A Survey of the Usages of Deep Learning inNatural  Language Processing.
","['A Survey Usages Deep Learning', 'inNatural Language Processing']
","[] 
",0
"1, 1 (July 2018), 35 pages.
","['July', 'pages']
","[] 
",0
"2.
","[]
","[] 
",0
"ROBERT DALE.
","['ROBERT DALE']
","[] 
",0
"""The commercial NLP Landscape in  2017"", Article in Natural LanguageEngineering, July2017
","['The commercial NLP Landscape', 'Article Natural LanguageEngineering', 'July2017']
","[] 
",0
"3.
","[]
","[] 
",0
"ACL 2018: 56 th  Annual Meeting of Association for
","['th Annual Meeting Association']
","[] 
",0
"Computational Linguistics https://acl2018.org
","['Computational Linguistics https', '//acl2018.org']
","[] 
",0
"4.
","[]
","[] 
",0
"Predictive Analytics Today:  www.predictiveanalyticstoday.com[accessed in Dec 2018]
","['Predictive Analytics Today', 'www.predictiveanalyticstoday.com [', 'Dec', ']']
","['accessed'] 
",0
"5.
","[]
","[] 
",0
"Ali Shatnawi, Ghadeer Al-Bdour, Raffi Al-Qurran and  Mahmoud Al-Ayyoub 2018.
","['Ali Shatnawi', 'Ghadeer Al-Bdour', 'Raffi Al-Qurran Mahmoud Al-Ayyoub']
","[] 
",0
"A Comparative Study of Open  Source Deep Learning Frameworks.
","['A Comparative Study Open Source Deep Learning Frameworks']
","[] 
",0
"2018 9th International
","['International']
","[] 
",0
"Conference on Information and Communication Systems
","['Conference Information Communication Systems']
","[] 
",0
"(ICICS)  6.
","['ICICS']
","[] 
",0
"Intelligent automation: Making cognitive real Knowledge
","['Intelligent automation', 'Making', 'cognitive real Knowledge']
","[] 
",0
"Series I Chapter 2.
","['Series', 'Chapter']
","[] 
",0
"2018, EY report.
","['EY report']
","[] 
",0
"7.
","[]
","[] 
",0
"Jacques Bughin, Eric Hazan, SreeRamaswamy, Michael
","['Jacques Bughin', 'Eric Hazan', 'SreeRamaswamy', 'Michael']
","[] 
",0
"Chui , TeraAllas, Peter Dahlström, Nicolaus Henke, Monica
","['Chui', 'TeraAllas', 'Peter Dahlström', 'Nicolaus Henke', 'Monica']
","[] 
",0
"Trench,  2017.
","['Trench']
","[] 
",0
"MGI ARTIFICIAL INTELLIGENCE THE  NEXT DIGITAL FRONTIER?
","['MGI ARTIFICIAL INTELLIGENCE THE NEXT DIGITAL FRONTIER']
","[] 
",0
"McKinsey & Company
","['McKinsey', 'Company']
","[] 
",0
